sr,bd_index,daopai,score,word
1,1,1,无数据,jinyanzipvc.cn
2,0,0,无数据,opople.com
1,1,1,无数据,pjflcg.com.cn
1,1,1,无数据,nanta888.cn
2,0,0,无数据,nniigift.com
1,1,1,无数据,nbflk.cn
3,0,0,无数据,pharosbit.com
3,0,0,无数据,product-cn.com
2,0,0,无数据,pastemark.com
1,2,2,无数据,pjjingcheng.cn
2,0,0,无数据,lyetech.com
1,4,4,无数据,lylengwan.com
2,0,0,无数据,nylmkj.cn
2,0,0,无数据,nxydtyn.com
3,3,3,无数据,packingba.com
2,0,0,无数据,kaichensh.com
1,1,1,无数据,pybt1963.cn
2,0,0,无数据,qdaagt.cn
3,0,0,无数据,pz024.com
2,0,0,无数据,qdhtnk.com
2,0,0,无数据,kshongrun.com
2,0,0,无数据,qdhtchem.com
1,1,1,无数据,qdczhsm.com.cn
1,1,1,无数据,qdclsm.com.cn
1,1,1,无数据,LN110.net
2,2,2,无数据,qdfumin.cn
2,1,1,无数据,kurtvac.com
1,1,1,无数据,qdhengyuan.cn
1,3,3,无数据,qdmeirifh.cn
1,1,1,无数据,qdicman.cn
1,2,2,无数据,qdllart.cn
2,0,0,无数据,olhvalve.com
2,0,0,无数据,qdchunfa.cn
2,0,0,无数据,jksp68.cn
1,1,1,无数据,qdhswl.com
2,0,0,无数据,meijiedh.com
1,1,1,无数据,qidongjilai.cn
2,0,0,无数据,qdwancheng.com
2,0,0,无数据,qdaomai.cn
1,1,1,无数据,qdhaiyitian.cn
2,0,0,无数据,oyweilan.com
1,3,3,无数据,qiyi18.com
1,1,1,无数据,qdshenxing.cn
1,3,3,无数据,jzyulong.com
1,1,1,无数据,qdhaiban.cn
1,8,8,无数据,miasor.com
1,1,1,无数据,qdqhdz.com.cn
2,0,0,无数据,pharoshome.com
2,0,0,无数据,qdage.com
2,0,0,无数据,qj5000.com
1,1,1,无数据,nghxmz.com.cn
1,1,1,无数据,qjptfe.com.cn
2,0,0,无数据,keangcs.com
2,0,0,无数据,nhhengbo.com
2,1,1,无数据,nbgumei.com
2,0,0,无数据,qdjiuqi.com
2,0,0,无数据,qixin168.com
1,1,1,无数据,mytide168.cn
3,1,1,无数据,oa269.cn
1,2,2,无数据,lnjilong.cn
1,1,1,无数据,oyalsj.com
1,1,1,无数据,nyxcps.com
1,1,1,无数据,qdxsyt.com.cn
1,1,1,无数据,ravalve.net.cn
1,2,2,无数据,rddouti.com
2,0,0,无数据,qdkangnuo.com
1,1,1,无数据,qdqide.com.cn
2,1,1,无数据,qyxfydk.com
1,1,1,无数据,rf-lace.com
2,0,0,无数据,regain88.cn
2,0,0,无数据,richkeji.com
1,1,1,无数据,rongyidz.cn
1,1,1,无数据,rilisujiao.cn
1,3,3,无数据,rogerbrands.cn
2,1,1,无数据,qdrocket.com
2,0,0,无数据,penate.cn
2,0,0,无数据,realfaith.cn
1,1,1,无数据,qdbangle.com
2,2,2,无数据,qdhulu.net.cn
2,0,0,无数据,qianhetyre.com
2,0,0,无数据,reitled.com
2,0,0,无数据,rcmould.com
1,1,1,无数据,qdhtrhy.com.cn
2,0,0,无数据,mikahk.com.cn
1,1,1,无数据,rhcisco.com
1,1,1,无数据,pjxhzy.com
3,0,0,无数据,sansuiit.com
1,2,2,无数据,meiyabz.com
1,1,1,无数据,sanyuanchen.cn
1,1,1,无数据,net2008.net
1,760,10,无数据,sacyh.cn
1,1,1,无数据,ns4slp.com
3,0,0,无数据,sdacer.com
2,1,1,无数据,nbnoa.com
1,1,1,无数据,scmj888.cn
2,0,0,无数据,njshouhao.com
1,1,1,无数据,sdjlpx.com
2,0,0,无数据,sdkyjc.com
2,0,0,无数据,qdxingquan.com
1,1,1,无数据,scsh1188.cn
1,1,1,无数据,sd-cxjzk.com
2,6,6,无数据,sdglkt.cn
2,0,0,无数据,sdyiluxing.com
1,1,1,无数据,sdtmj.net.cn
3,1,1,无数据,sdtopower.com
2,0,0,无数据,sdhlwh.com
2,0,0,无数据,sdjnwq.com
1,1,1,无数据,sdsicc.com
2,0,0,无数据,sdyxqj.com
1,1,1,无数据,no1ht.cn
2,0,0,无数据,san-mark.com
1,1,1,无数据,sdls68.com
1,1,1,无数据,qdrzp.com.cn
2,0,0,无数据,seeplus.net.cn
1,1,1,无数据,sdyjqy.com
1,1,1,无数据,sfdsljx.cn
1,1,1,无数据,sfslhj.cn
3,1,1,无数据,sdgongshui.com
2,0,0,无数据,sgoba.com
2,1,1,无数据,rixintea.com
2,0,0,无数据,shdigong.com
1,1,1,无数据,rlqsszx.com
1,1,1,无数据,njnuochun.cn
1,2,2,无数据,rainunion.com
3,0,0,无数据,rhdz668.com
1,1,1,无数据,shdymy.com.cn
2,1,1,无数据,sdlhdz.com
2,0,0,无数据,shjieqin.com
1,1,1,无数据,shengyu2566.cn
1,1,1,无数据,shbilun.cn
2,0,0,无数据,qd-car.com
1,1,1,无数据,qdhiya.com
1,1,1,无数据,siyacao.com
1,1,1,无数据,siderpet.com
2,0,0,无数据,shunkangcn.com
1,1,1,无数据,shzddoor.com
3,2,2,无数据,picasso.net.cn
3,0,0,无数据,shengsy.com.cn
1,10,10,无数据,singbee.com.cn
