current_time,domain,bd_index,reverse_index,chinese,url,illegal,pan_analysis,sgsr
2016-03-24,abcdef12588.cn,1,1,chinese,,正常,正常,1
2016-03-24,ad-motor.com,0,0,no_language,,正常,正常,1
2016-03-24,88sheng.com.cn,1,1,chinese,,正常,正常,1
2016-03-24,8858shop.cn,0,0,no_language,,正常,正常,1
2016-03-24,ahxinguo.cn,0,0,no_language,,正常,正常,1
2016-03-24,adachi-cn.com,0,0,no_language,,正常,正常,1
2016-03-24,abddcc.com,0,0,no_language,,正常,正常,1
2016-03-24,9991book.com,0,0,no_language,,正常,正常,1
2016-03-24,85088098.cn,0,0,no_language,,正常,正常,1
2016-03-24,86gy.net,0,0,no_language,,正常,正常,1
2016-03-24,abemc.com.cn,0,0,no_language,,正常,正常,1
2016-03-24,ahshilihe.cn,0,0,no_language,,正常,正常,1
2016-03-24,66869986.com,0,0,no_language,,正常,正常,1
2016-03-24,ailipu168.cn,0,0,no_language,,正常,正常,1
2016-03-24,251549621.com,0,0,no_language,,正常,正常,1
2016-03-24,82847346.com,0,0,no_language,,正常,正常,1
2016-03-24,aboo88.com.cn,0,0,no_language,,正常,正常,1
2016-03-24,027hi.cn,0,0,no_language,,正常,正常,1
2016-03-24,723465799.com,0,0,no_language,,正常,正常,1
2016-03-24,3-hui.com,0,0,no_language,,正常,正常,1
2016-03-24,airjiakang.com,1,1,english,,包含违禁词,正常,1
2016-03-24,ahzzj.cn,0,0,no_language,,正常,正常,1
2016-03-24,aileidz.com,0,0,no_language,,正常,正常,1
2016-03-24,88557770.com,0,0,no_language,,正常,正常,1
2016-03-24,400129120.com,0,0,no_language,,正常,正常,1
2016-03-24,10yanlj.com,0,0,no_language,,正常,正常,1
2016-03-24,7698168.cn,0,0,no_language,,正常,正常,1
2016-03-24,630taobao.com,0,0,no_language,,正常,正常,1
2016-03-24,36min.com,0,0,no_language,,正常,正常,1
2016-03-24,ainuoweiyu.cn,0,0,no_language,,正常,正常,1
2016-03-24,aiyingsi.net,0,0,no_language,,正常,正常,1
2016-03-24,aiyingde.cn,0,0,no_language,,正常,正常,1
2016-03-24,ai989.cn,0,0,no_language,,正常,正常,1
2016-03-24,618soqi.cn,760,10,chinese,,包含违禁词,泛解析,1
2016-03-24,abcda88.com,1,1,chinese,,正常,正常,1
2016-03-24,15mmw.com,0,0,no_language,,正常,正常,1
2016-03-24,a-love.com.cn,0,0,no_language,,正常,正常,1
2016-03-24,5izhengpin.com,0,0,no_language,,正常,正常,1
2016-03-24,0730730.net,0,0,no_language,,正常,正常,1
2016-03-24,021-b2b.com,1,1,chinese,,包含违禁词,正常,1
2016-03-24,aixin77.com,0,0,no_language,,正常,正常,1
2016-03-24,9-ok.cn,0,0,no_language,,正常,正常,1
2016-03-24,8848taobao.cn,0,0,no_language,,正常,正常,1
2016-03-24,93ttyy.com,0,0,no_language,,正常,正常,1
2016-03-24,9jieneng.com,0,0,no_language,,正常,正常,1
2016-03-24,ab-alu.cn,587,10,chinese,,正常,正常,1
2016-03-24,0577deli.com,2,2,chinese,,包含违禁词,正常,1
2016-03-24,31timcl.com,0,0,no_language,,正常,正常,1
2016-03-24,91dalishi.com,0,0,no_language,,正常,正常,2
2016-03-24,aizhonsheng.cn,0,0,no_language,,正常,正常,1
2016-03-24,aixiehong.com,0,0,no_language,,正常,正常,1
2016-03-24,ahszyt.com.cn,0,0,no_language,,正常,正常,1
2016-03-24,31673388.cn,0,0,no_language,,正常,正常,1
2016-03-24,air-try.com,2,2,chinese,,包含违禁词,正常,1
2016-03-24,a-qi.cn,0,0,no_language,,正常,正常,1
2016-03-24,85308892.com,0,0,no_language,,正常,正常,1
2016-03-24,ahuwj.com,0,0,no_language,,正常,正常,1
2016-03-24,andanziyun.com,0,0,no_language,,正常,正常,1
2016-03-24,albt182838.cn,0,0,no_language,,正常,正常,1
2016-03-24,a5061.cn,0,0,no_language,,正常,正常,1
2016-03-24,anyan-tech.cn,0,0,no_language,,正常,正常,1
2016-03-24,21mq.net.cn,1,1,english,,正常,正常,1
2016-03-24,anadvr.com,0,0,no_language,,正常,正常,1
2016-03-24,anjute1998.com,0,0,no_language,,正常,正常,1
2016-03-24,ajbwb.com,0,0,no_language,,正常,正常,1
2016-03-24,aiuzjjl.com,0,0,no_language,,正常,正常,1
2016-03-24,alianghs.com,0,0,no_language,,正常,正常,1
2016-03-24,anyuanwang.com,0,0,no_language,,正常,正常,1
2016-03-24,andiguanye.com,0,0,no_language,,正常,正常,1
2016-03-24,angel5305.com,0,0,no_language,,正常,正常,1
2016-03-24,ahzhicheng.cn,6,6,chinese,,正常,泛解析,1
2016-03-24,aobohj.com,1,1,chinese,,正常,正常,2
2016-03-24,aoaonrz.com,0,0,no_language,,正常,正常,1
2016-03-24,al-jazairi.com,1,1,english,,正常,正常,1
2016-03-24,aklbearing.com,0,0,no_language,,正常,正常,1
2016-03-24,anthousecn.cn,0,0,no_language,,正常,正常,1
2016-03-24,0doudou.cn,0,0,no_language,,正常,正常,1
2016-03-24,annylxl100.cn,0,0,no_language,,正常,正常,1
2016-03-24,anjitire.cn,0,0,no_language,,正常,正常,1
2016-03-24,aipu-cable.com,1,1,chinese,,正常,正常,3
2016-03-24,aldth.com,0,0,no_language,,正常,正常,1
2016-03-24,51aide.com,0,0,no_language,,正常,正常,1
2016-03-24,allybo.com,1,1,chinese,,正常,正常,1
2016-03-24,aljt168.com.cn,1,1,english,,包含违禁词,正常,1
2016-03-24,aopuj.com,0,0,no_language,,正常,正常,1
2016-03-24,aimfexpo.com,0,0,no_language,,正常,正常,1
2016-03-24,ahqjwd.com,0,0,no_language,,正常,正常,1
2016-03-24,ahchenshi.cn,0,0,no_language,,正常,正常,1
2016-03-24,angelwu.com.cn,0,0,no_language,,正常,正常,1
2016-03-24,aotuonisi.com,0,0,no_language,,正常,正常,1
2016-03-24,51jk123.com.cn,0,0,no_language,,正常,正常,1
2016-03-24,anpucheng.cn,0,0,no_language,,正常,正常,1
2016-03-24,ahtongyue.com,0,0,no_language,,正常,正常,1
2016-03-24,anxifuhua.com,0,0,no_language,,正常,正常,1
2016-03-24,6226031.cn,0,0,no_language,,正常,正常,1
2016-03-24,alsdee.com,0,0,no_language,,正常,正常,1
2016-03-24,aidern.com,0,0,no_language,,正常,正常,1
2016-03-24,amwhssll.com,0,0,no_language,,正常,正常,1
2016-03-24,adxinghan.cn,1,1,english,,正常,正常,1
2016-03-24,9453print.com,0,0,no_language,,正常,正常,1
2016-03-24,312yd.com,0,0,no_language,,正常,正常,1
2016-03-24,akiba.net.cn,0,0,no_language,,正常,正常,1
2016-03-24,aotonglvye.com,0,0,no_language,,正常,正常,1
2016-03-24,any-teck.com,0,0,no_language,,正常,正常,1
2016-03-24,517jp.cn,0,0,no_language,,正常,正常,1
2016-03-24,0731ff.com,0,0,no_language,,正常,正常,1
2016-03-24,86-ha.com,0,0,no_language,,正常,正常,1
2016-03-24,alqgg.com,0,0,no_language,,正常,正常,1
2016-03-24,aphuayue.com,0,0,no_language,,正常,正常,1
2016-03-24,asccjj.com,3,3,chinese,,包含违禁词,正常,1
2016-03-24,askxzc.com,0,0,no_language,,正常,正常,1
2016-03-24,apltcs.cn,0,0,no_language,,正常,正常,1
